Gene,Metabolite,VECPAC r,VECPAC p,VECPAC n,DSS r,DSS p,DSS n,LPS r,LPS p,LPS n,Pooled r,Pooled p,Pooled n,Consistent,Sign,Pooled FDR
ENSMUSG00000000093-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000093-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000093-B,Tyr-Val,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000384-B,2-Aminoquinolin-8-ol,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000000384-B,2-Norbornanemethanol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000384-B,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000000384-B,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000000555-B,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000000555-B,"13-Docosenamide, (Z)",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000555-B,"3,4-Dihydroxybenzaldehyde",-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000555-B,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,0.8660254037844387,0.3333333333333332,3,0.632455532033676,0.367544467966324,4,0.9221228546165696,0.0001463669002885,10,True,+,0.0063012893497654
ENSMUSG00000000555-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000555-B,Yangonin,0.5,0.6666666666666666,3,0.5,0.6666666666666666,3,0.4558823529411764,0.3635491934663136,6,0.8318597100170123,0.0007922436323422,12,True,+,0.0328848705001564
ENSMUSG00000000562-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,,0,0.5,0.6666666666666666,3,1.0,0.0,4,0.9,0.0009430623223403,9,True,+,0.038748391771293
ENSMUSG00000000562-B,"13-Docosenamide, (Z)",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000562-B,"2,4-Dimethoxybenzaldoxime",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000000562-B,3-(4-Methoxyphenyl)coumarin,,,0,,,0,-1.0,0.0,3,-1.0,0.0,4,True,-,0.0
ENSMUSG00000000562-B,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000562-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000562-B,L-Ornithine,,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000000562-B,Octadecanoic acid,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000627-B,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000627-B,2-Norbornanemethanol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000627-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000000627-B,"4,5-Dihydro-1H-pyrazole",,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000000627-B,Chlorobenzilate ,,,0,,,0,,,0,-1.0,0.0,4,True,-,0.0
ENSMUSG00000000627-B,Glabridin,,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000000627-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000000627-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
ENSMUSG00000001021-B,"2,4-Dimethoxybenzaldoxime",,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000001021-B,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,0,,,0,-1.0,0.0,4,-1.0,0.0,4,True,-,0.0
ENSMUSG00000001021-B,Diclofenac,,,0,,,0,,,0,1.0,0.0,4,True,+,0.0
ENSMUSG00000001021-B,Octadecanoic acid,,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000001029-B,"1,2-Bis(trimethylsiloxy)cyclohexene",,,0,,,0,,,0,1.0,0.0,3,True,+,0.0
ENSMUSG00000001029-B,2-Aminoquinolin-8-ol,,,0,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000001029-B,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,True,-,0.0
ENSMUSG00000001029-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,True,+,0.0
